注文番号,時間(Open Time),取引種別,数量,通貨ペア,価格,決済逆指値(S/L),決済指値(T/P),時間(Close Time),価格,手数料,税,スワップ,損益,MagicNo,コメント
98148141,2024.05.29 00:02:08,balance,0.01,,0,0,0,2024.05.29 00:02:08,0,0,0,0,813,,RO 98140457 B 0.38 USDJPY
98148142,2024.05.29 00:02:08,balance,0.01,,0,0,0,2024.05.29 00:02:08,0,0,0,0,727,,RO 98140946 B 0.34 USDJPY
98173791,2024.05.29 00:10:00,buy,0.44,USDJPY,157.211,156.958,0,2024.05.29 08:09:18,157.239,0,0,0,1232,20240512,STR01_USDJPY_H1
98175391,2024.05.29 03:00:01,buy,0.56,USDJPY,157.284,157.084,0,2024.05.29 03:15:46,157.331,0,0,0,2632,20240512,STR01_USDJPY_H1
98176742,2024.05.29 04:00:00,buy,0.38,USDJPY,157.385,157.084,0,2024.05.29 04:02:39,157.374,0,0,0,-418,20240512,STR01_USDJPY_H1
98192101,2024.05.29 18:00:00,buy,0.32,USDJPY,157.496,157.146,0,2024.05.30 03:12:14,157.491,0,0,0,-160,20240512,STR01_USDJPY_H1
98192863,2024.05.28 21:00:01,buy,0.19,USDJPY,157.101,157.206,0,2024.05.30 07:35:44,157.203,0,0,0,1938,20240512,from #98140457[sl]
98193196,2024.05.29 19:00:00,buy,0.22,USDJPY,157.632,157.146,0,2024.05.30 07:40:32,157.146,0,0,0,-10692,20240512,STR01_USDJPY_H1[sl]
98193823,2024.05.29 20:00:00,buy,0.2,USDJPY,157.696,157.164,0,2024.05.30 07:40:29,157.163,0,0,0,-10660,20240512,STR01_USDJPY_H1[sl]
98202157,2024.05.30 00:02:09,balance,0.01,,0,0,0,2024.05.30 00:02:09,0,0,0,0,2563,,RO 98192101 B 0.32 USDJPY
98202158,2024.05.30 00:02:09,balance,0.01,,0,0,0,2024.05.30 00:02:09,0,0,0,0,1521,,RO 98192863 B 0.19 USDJPY
98202159,2024.05.30 00:02:09,balance,0.01,,0,0,0,2024.05.30 00:02:09,0,0,0,0,1762,,RO 98193196 B 0.22 USDJPY
98202160,2024.05.30 00:02:09,balance,0.01,,0,0,0,2024.05.30 00:02:09,0,0,0,0,1602,,RO 98193823 B 0.20 USDJPY
98238947,2024.05.30 09:00:00,sell,0.22,USDJPY,156.966,157.453,0,2024.05.30 11:12:05,157.05,0,0,0,-1848,20240512,STR01_USDJPY_H1
98240551,2024.05.30 10:00:00,sell,0.16,USDJPY,156.742,157.427,0,2024.05.30 16:43:38,156.709,0,0,0,528,20240512,STR01_USDJPY_H1
98300541,2024.05.31 11:00:00,buy,0.22,USDJPY,157.15,156.67,0,2024.05.31 17:00:09,156.67,0,0,0,-10560,20240512,STR01_USDJPY_H1[sl]
98301887,2024.05.31 12:00:00,buy,0.18,USDJPY,157.299,156.689,0,2024.05.31 16:49:41,156.687,0,0,0,-11016,20240512,STR01_USDJPY_H1[sl]
98302932,2024.05.31 13:00:00,buy,0.2,USDJPY,157.336,156.783,0,2024.05.31 15:48:45,156.783,0,0,0,-11060,20240512,STR01_USDJPY_H1[sl]
